code,description,time_minutes,complexity_level,avg_charge,category,requires_diagnosis
99201,Office visit new patient minimal,10,minimal,50,E/M,yes
99202,Office visit new patient low,20,low,85,E/M,yes
99203,Office visit new patient moderate,30,moderate,135,E/M,yes
99204,Office visit new patient moderate-high,45,moderate-high,210,E/M,yes
99205,Office visit new patient high,60,high,310,E/M,yes
99211,Office visit established patient minimal,5,minimal,45,E/M,yes
99212,Office visit established patient low,10,low,85,E/M,yes
99213,Office visit established patient moderate,15,moderate,135,E/M,yes
99214,Office visit established patient moderate-high,25,moderate-high,185,E/M,yes
99215,Office visit established patient high,40,high,275,E/M,yes
99217,Observation care discharge,30,moderate,125,E/M,yes
99218,Initial observation care low,30,low,150,E/M,yes
99219,Initial observation care moderate,50,moderate,225,E/M,yes
99220,Initial observation care high,70,high,300,E/M,yes
99221,Initial hospital care low,30,low,150,E/M,yes
99222,Initial hospital care moderate,50,moderate,225,E/M,yes
99223,Initial hospital care high,70,high,300,E/M,yes
99231,Subsequent hospital care low,15,low,75,E/M,yes
99232,Subsequent hospital care moderate,25,moderate,125,E/M,yes
99233,Subsequent hospital care high,35,high,175,E/M,yes
99238,Hospital discharge day 30 min or less,30,moderate,125,E/M,yes
99239,Hospital discharge day more than 30 min,60,moderate,175,E/M,yes
99281,Emergency dept visit minimal,10,minimal,100,E/M,yes
99282,Emergency dept visit low,20,low,175,E/M,yes
99283,Emergency dept visit moderate,30,moderate,250,E/M,yes
99284,Emergency dept visit high,45,high,400,E/M,yes
99285,Emergency dept visit critical,60,critical,600,E/M,yes
99291,Critical care first hour,60,critical,500,E/M,yes
99292,Critical care each additional 30 min,30,critical,250,E/M,yes
99381,Preventive visit new patient infant,30,preventive,175,Preventive,no
99382,Preventive visit new patient 1-4 years,30,preventive,175,Preventive,no
99383,Preventive visit new patient 5-11 years,30,preventive,175,Preventive,no
99384,Preventive visit new patient 12-17 years,30,preventive,200,Preventive,no
99385,Preventive visit new patient 18-39 years,30,preventive,200,Preventive,no
99386,Preventive visit new patient 40-64 years,30,preventive,225,Preventive,no
99387,Preventive visit new patient 65+ years,30,preventive,225,Preventive,no
99391,Preventive visit established patient infant,20,preventive,150,Preventive,no
99392,Preventive visit established patient 1-4 years,20,preventive,150,Preventive,no
99393,Preventive visit established patient 5-11 years,20,preventive,150,Preventive,no
99394,Preventive visit established patient 12-17 years,20,preventive,175,Preventive,no
99395,Preventive visit established patient 18-39 years,20,preventive,175,Preventive,no
99396,Preventive visit established patient 40-64 years,20,preventive,200,Preventive,no
99397,Preventive visit established patient 65+ years,20,preventive,200,Preventive,no
10060,Incision and drainage of abscess,15,minor,150,Minor Surgery,yes
10061,Incision and drainage complicated,25,minor,225,Minor Surgery,yes
11042,Debridement subcutaneous tissue,20,minor,180,Minor Surgery,yes
